居住小区名称,小区绿化覆盖率,最近公园距离（米）,景观视线评价,所属街道
虹口花苑,36.0%,530.727261854,0,广中路街道
虹口花苑,36.0%,589.901341481,0,广中路街道
虹祺花苑,36.0%,403.385245615,0,广中路街道
虹祺花苑,36.0%,504.740290897,0,广中路街道
虹祺花苑,36.0%,456.892753347,0,广中路街道
钧茂公寓,20.0%,292.399595974,0,广中路街道
钧茂公寓,20.0%,325.806818867,0,广中路街道
海伦新苑,30.0%,687.881533718,0,广中路街道
海伦新苑,30.0%,702.76570955,0,广中路街道
恒通公寓,34.0%,792.522493209,0,广中路街道
金江公寓,15.0%,277.245078492,0,广中路街道
弘丰新苑,30.0%,761.97534772,0,广中路街道
华星公寓,32.0%,220.669313197,0,广中路街道
金宝大厦,30.0%,589.27737345,0,广中路街道
双宝小区,20.0%,608.025456633,0,广中路街道
同心路小区,20.0%,587.159132966,0,广中路街道
虹光公寓,3.0%,281.199476245,0,广中路街道
宏凯公寓,6.0%,618.769994365,0,广中路街道
华昌公寓,15.0%,736.131193497,0,广中路街道
大上海紫金城,43.0%,450.879983328,0,广中路街道
怡景大厦,25.0%,406.878094175,0,广中路街道
怡景大厦,25.0%,367.641869789,0,广中路街道
花园城三期,2.5%,454.809531086,0,广中路街道
花园城三期,2.5%,481.042189194,0,广中路街道
恒业公寓,30.0%,743.212277006,0,广中路街道
何家宅小区,25.0%,626.045407638,0,广中路街道
何家宅小区,25.0%,585.28373469,0,广中路街道
华清名苑,45.0%,702.931066278,0,广中路街道
华能公寓,35.0%,216.572404818,1,广中路街道
嘉苑公寓,30.0%,232.720312567,0,广中路街道
北城公寓,35.0%,169.135081672,0,广中路街道
建玮公寓,28.0%,208.558239631,0,广中路街道
花园城二期,38.0%,700.483862403,0,广中路街道
东体育会路119弄小区,35.0%,150.441295533,0,广中路街道
同心城,3.0%,583.761083997,0,广中路街道
緑寓,20.0%,291.117243982,0,广中路街道
商业一村小区,10.0%,623.33590575,0,广中路街道
春满园,30.0%,615.86924907,0,广中路街道
金鸿苑,25.0%,840.478205288,0,广中路街道
金鸿苑,25.0%,966.386269034,0,广中路街道
灵新小区,30.0%,517.034084248,0,广中路街道
灵新小区,30.0%,687.780968663,0,广中路街道
宝华城市花园,35.0%,830.968632969,0,广中路街道
宝华城市花园,35.0%,787.047469401,0,广中路街道
虹祥福邸乾弘佳园,5.0%,792.809881218,0,广中路街道
水电路1013弄,20.0%,647.087336605,0,广中路街道
三湘花苑,20.0%,634.541892165,0,广中路街道
广中五村,20.0%,808.436392357,0,广中路街道
广灵一村,12.0%,775.288986861,0,广中路街道
海怡花园,42.0%,777.080770528,0,广中路街道
商洛小区,15.0%,673.216727493,0,广中路街道
广中三村,15.0%,813.077974736,0,广中路街道
广中一村,15.0%,597.994922588,0,广中路街道
浦江名邸,40.0%,713.111306209,0,嘉兴路街道
浦江名邸,40.0%,731.808009981,0,嘉兴路街道
浦江名邸,40.0%,755.78790633,0,嘉兴路街道
浦江名邸,40.0%,825.086878192,0,嘉兴路街道
爱家豪庭,37.0%,873.784269204,0,嘉兴路街道
爱家豪庭,37.0%,898.950331862,0,嘉兴路街道
爱家豪庭,37.0%,838.285717313,0,嘉兴路街道
凯虹家园,35.0%,675.712489415,0,嘉兴路街道
凯虹家园,35.0%,643.235618249,0,嘉兴路街道
中皇广场,35.0%,769.677709577,0,嘉兴路街道
中皇广场,35.0%,739.748587814,0,嘉兴路街道
银欣花苑,35.0%,942.980664151,0,嘉兴路街道
银欣花苑,35.0%,937.998787669,0,嘉兴路街道
海昌苑,30.0%,675.082717559,0,嘉兴路街道
海昌苑,30.0%,600.464735775,0,嘉兴路街道
金殿苑,35.0%,1006.94389863,0,嘉兴路街道
